,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
UNITS IN STRUCTURE,        5 to 9 units,"89,598","±6,206",3.90%,±0.3,"13,962","±2,182",4.30%,±0.7,"115,712","±6,571",3.70%,±0.2,"46,040","±4,639",3.30%,±0.3,"830,976","±14,506",5.70%,±0.1,"110,274","±6,134",4.30%,±0.2,"75,119","±5,534",4.90%,±0.4,"20,975","±3,270",4.60%,±0.7,"26,060","±3,157",7.30%,±0.9,"475,908","±13,240",4.70%,±0.1,"188,556","±9,293",4.20%,±0.2,"33,395","±3,029",5.90%,±0.5,"21,570","±2,781",2.80%,±0.4,"335,332","±11,232",6.20%,±0.2,"125,784","±6,806",4.30%,±0.2,"49,775","±4,018",3.50%,±0.3,"43,788","±3,806",3.40%,±0.3,"93,727","±5,278",4.70%,±0.3,"68,423","±5,394",3.30%,±0.3,"27,885","±2,874",3.70%,±0.4,"129,830","±7,105",5.10%,±0.3,"171,119","±7,529",5.70%,±0.2,"188,353","±6,244",4.10%,±0.1,"52,464","±3,579",2.10%,±0.1,"51,861","±4,204",3.90%,±0.3,"97,364","±6,305",3.50%,±0.2,"14,879","±2,415",2.90%,±0.5,"36,402","±3,206",4.30%,±0.4,"85,937","±5,655",6.60%,±0.4,"29,585","±3,302",4.60%,±0.5,"173,957","±8,148",4.60%,±0.2,"26,753","±3,410",2.80%,±0.4,"434,110","±12,085",5.10%,±0.1,"192,814","±8,737",4.00%,±0.2,"12,874","±2,050",3.40%,±0.5,"245,993","±7,962",4.70%,±0.2,"63,676","±3,921",3.60%,±0.2,"79,423","±5,681",4.30%,±0.3,"169,610","±6,386",2.90%,±0.1,"23,114","±3,009",4.80%,±0.6,"96,859","±6,156",4.00%,±0.3,"13,538","±1,933",3.40%,±0.5,"130,322","±6,828",4.20%,±0.2,"523,876","±14,590",4.40%,±0.1,"38,235","±3,923",3.20%,±0.3,"17,541","±2,030",5.20%,±0.6,"170,654","±7,006",4.70%,±0.2,"146,318","±6,641",4.50%,±0.2,"26,819","±3,182",3.10%,±0.4,"134,881","±6,481",4.90%,±0.2,"7,428","±1,845",2.70%,±0.7,"57,982","±4,374",3.80%,±0.3
UNITS IN STRUCTURE,        10 to 19 units,"76,525","±4,862",3.30%,±0.2,"10,067","±1,562",3.10%,±0.5,"109,099","±5,823",3.50%,±0.2,"49,615","±4,382",3.60%,±0.3,"700,115","±14,662",4.80%,±0.1,"141,513","±7,741",5.60%,±0.3,"57,735","±4,488",3.80%,±0.3,"21,939","±2,599",4.80%,±0.6,"30,257","±3,282",8.50%,±0.9,"547,376","±15,850",5.40%,±0.2,"195,437","±10,170",4.40%,±0.2,"26,596","±2,836",4.70%,±0.5,"19,863","±3,135",2.60%,±0.4,"215,947","±9,404",4.00%,±0.2,"105,099","±5,826",3.60%,±0.2,"55,050","±4,020",3.90%,±0.3,"48,472","±3,921",3.80%,±0.3,"64,734","±3,753",3.20%,±0.2,"56,503","±5,501",2.70%,±0.3,"12,503","±1,607",1.70%,±0.2,"181,874","±7,594",7.10%,±0.3,"119,232","±5,720",4.00%,±0.2,"160,963","±7,783",3.50%,±0.2,"83,831","±4,677",3.30%,±0.2,"29,410","±3,970",2.20%,±0.3,"94,681","±5,633",3.40%,±0.2,"14,187","±2,180",2.70%,±0.4,"39,137","±3,028",4.60%,±0.4,"68,221","±4,695",5.20%,±0.4,"19,143","±2,450",3.00%,±0.4,"179,995","±8,531",4.80%,±0.2,"23,337","±2,764",2.50%,±0.3,"360,279","±10,310",4.20%,±0.1,"191,855","±7,390",4.00%,±0.2,"18,683","±2,721",5.00%,±0.7,"202,198","±8,921",3.80%,±0.2,"60,687","±3,872",3.40%,±0.2,"61,410","±4,485",3.30%,±0.2,"145,784","±7,637",2.50%,±0.1,"16,116","±2,383",3.30%,±0.5,"82,151","±6,132",3.40%,±0.3,"15,945","±2,252",4.00%,±0.6,"107,580","±7,030",3.50%,±0.2,"658,448","±19,773",5.50%,±0.2,"49,795","±4,039",4.20%,±0.3,"7,561","±1,718",2.20%,±0.5,"190,640","±8,307",5.20%,±0.2,"151,856","±7,283",4.70%,±0.2,"15,007","±2,157",1.70%,±0.3,"96,475","±6,252",3.50%,±0.2,"5,139","±1,282",1.90%,±0.5,"50,800","±3,725",3.30%,±0.2
UNITS IN STRUCTURE,        20 or more units,"90,981","±5,015",3.90%,±0.2,"17,302","±1,724",5.30%,±0.5,"270,854","±8,524",8.60%,±0.3,"45,994","±4,201",3.30%,±0.3,"1,943,442","±23,418",13.40%,±0.2,"307,315","±8,950",12.10%,±0.4,"148,836","±5,721",9.70%,±0.4,"23,520","±2,237",5.10%,±0.5,"147,273","±5,014",41.20%,±1.4,"1,403,070","±18,843",14.00%,±0.2,"309,707","±11,557",6.90%,±0.3,"118,130","±5,042",20.90%,±0.9,"25,284","±3,036",3.30%,±0.4,"614,807","±11,303",11.30%,±0.2,"131,554","±5,952",4.50%,±0.2,"94,303","±4,354",6.60%,±0.3,"67,492","±4,440",5.30%,±0.3,"64,667","±3,695",3.20%,±0.2,"102,718","±6,289",4.90%,±0.3,"24,347","±2,256",3.30%,±0.3,"252,595","±7,535",9.90%,±0.3,"362,671","±8,692",12.00%,±0.3,"252,113","±8,146",5.50%,±0.2,"335,916","±8,204",13.30%,±0.3,"38,256","±3,801",2.90%,±0.3,"151,256","±5,925",5.40%,±0.2,"18,637","±2,364",3.60%,±0.5,"67,316","±3,713",7.90%,±0.4,"129,347","±5,844",9.90%,±0.4,"48,129","±3,584",7.50%,±0.6,"447,292","±11,631",11.80%,±0.3,"44,180","±3,645",4.70%,±0.4,"2,145,956","±20,142",25.20%,±0.2,"271,495","±9,047",5.70%,±0.2,"57,561","±4,417",15.40%,±1.2,"332,218","±10,503",6.30%,±0.2,"73,414","±4,332",4.20%,±0.2,"168,454","±6,402",9.20%,±0.3,"394,098","±9,284",6.80%,±0.2,"43,905","±3,252",9.10%,±0.7,"126,716","±6,727",5.30%,±0.3,"30,213","±2,508",7.50%,±0.6,"172,731","±7,674",5.60%,±0.2,"1,212,193","±22,224",10.20%,±0.2,"98,999","±5,535",8.30%,±0.5,"16,086","±2,149",4.80%,±0.6,"313,351","±8,215",8.60%,±0.2,"392,971","±10,035",12.10%,±0.3,"26,038","±3,045",3.00%,±0.4,"217,019","±6,413",7.90%,±0.2,"9,058","±1,752",3.30%,±0.6,"86,432","±4,034",5.70%,±0.3
UNITS IN STRUCTURE,        Mobile home,"285,402","±7,455",12.30%,±0.3,"14,074","±1,666",4.30%,±0.5,"290,517","±8,644",9.30%,±0.3,"152,182","±5,444",11.00%,±0.4,"508,589","±10,549",3.50%,±0.1,"92,279","±4,796",3.60%,±0.2,"11,800","±2,089",0.80%,±0.1,"32,401","±3,317",7.10%,±0.7,621,±738,0.20%,±0.2,"816,090","±12,283",8.10%,±0.1,"362,202","±10,442",8.10%,±0.2,"1,218",±710,0.20%,±0.1,"57,380","±4,257",7.40%,±0.5,"124,780","±5,659",2.30%,±0.1,"124,534","±5,323",4.20%,±0.2,"42,919","±3,295",3.00%,±0.2,"49,332","±2,958",3.80%,±0.2,"219,130","±7,366",10.90%,±0.4,"252,971","±9,664",12.10%,±0.5,"62,501","±3,525",8.40%,±0.5,"33,462","±2,806",1.30%,±0.1,"20,873","±2,326",0.70%,±0.1,"235,720","±6,543",5.10%,±0.1,"73,906","±3,408",2.90%,±0.1,"187,889","±7,238",14.10%,±0.5,"156,284","±6,983",5.60%,±0.2,"47,948","±3,537",9.20%,±0.7,"26,224","±2,349",3.10%,±0.3,"68,293","±4,677",5.20%,±0.4,"29,780","±2,066",4.60%,±0.3,"32,445","±2,642",0.90%,±0.1,"150,109","±5,715",15.80%,±0.6,"174,725","±5,446",2.00%,±0.1,"553,161","±13,026",11.50%,±0.3,"24,899","±2,800",6.60%,±0.7,"181,025","±7,190",3.40%,±0.1,"146,196","±4,621",8.30%,±0.3,"129,894","±5,569",7.10%,±0.3,"205,543","±6,645",3.60%,±0.1,"4,371","±1,055",0.90%,±0.2,"352,727","±10,095",14.70%,±0.4,"29,858","±2,449",7.50%,±0.6,"251,596","±8,179",8.10%,±0.3,"769,638","±19,522",6.50%,±0.2,"34,150","±2,837",2.90%,±0.2,"18,767","±1,460",5.60%,±0.4,"157,048","±6,290",4.30%,±0.2,"180,284","±6,503",5.50%,±0.2,"114,391","±5,867",13.30%,±0.7,"83,385","±3,445",3.00%,±0.1,"33,270","±3,136",12.10%,±1.1,"3,788","±1,006",0.20%,±0.1
UNITS IN STRUCTURE,"        Boat, RV, van, etc.","3,186",±818,0.10%,±0.1,348,±251,0.10%,±0.1,"9,411","±1,705",0.30%,±0.1,"2,179",±876,0.20%,±0.1,"19,017","±2,496",0.10%,±0.1,"2,771",±863,0.10%,±0.1,"1,104",±669,0.10%,±0.1,972,±713,0.20%,±0.2,0,±236,0.00%,±0.1,"16,652","±2,722",0.20%,±0.1,"4,465","±1,305",0.10%,±0.1,403,±281,0.10%,±0.1,"1,595",±724,0.20%,±0.1,"2,186",±883,0.00%,±0.1,"1,066",±462,0.00%,±0.1,"1,002",±590,0.10%,±0.1,763,±387,0.10%,±0.1,"1,710",±580,0.10%,±0.1,"3,928","±1,304",0.20%,±0.1,427,±242,0.10%,±0.1,"1,419",±901,0.10%,±0.1,"1,047",±630,0.00%,±0.1,"1,575",±605,0.00%,±0.1,"1,032",±432,0.00%,±0.1,"2,539","±1,083",0.20%,±0.1,"3,854",±965,0.10%,±0.1,"1,191",±559,0.20%,±0.1,58,±60,0.00%,±0.1,"1,935",±665,0.10%,±0.1,284,±317,0.00%,±0.1,"1,113",±558,0.00%,±0.1,"2,903","±1,175",0.30%,±0.1,"3,564",±980,0.00%,±0.1,"4,433","±1,258",0.10%,±0.1,270,±311,0.10%,±0.1,"2,519",±809,0.00%,±0.1,"3,959",±953,0.20%,±0.1,"7,979","±1,802",0.40%,±0.1,"3,151",±880,0.10%,±0.1,103,±180,0.00%,±0.1,"5,049","±1,452",0.20%,±0.1,829,±489,0.20%,±0.1,"3,926","±1,098",0.10%,±0.1,"27,051","±3,632",0.20%,±0.1,972,±642,0.10%,±0.1,99,±71,0.00%,±0.1,872,±411,0.00%,±0.1,"6,833","±1,105",0.20%,±0.1,643,±489,0.10%,±0.1,956,±357,0.00%,±0.1,551,±476,0.20%,±0.2,0,±254,0.00%,±0.1
YEAR STRUCTURE BUILT,    Total housing units,"2,313,616",±360,"2,313,616",(X),"327,889",±219,"327,889",(X),"3,138,685",±419,"3,138,685",(X),"1,380,768",±294,"1,380,768",(X),"14,512,149","±1,218","14,512,149",(X),"2,540,783",±353,"2,540,783",(X),"1,536,327",±369,"1,536,327",(X),"457,978",±419,"457,978",(X),"357,482",±47,"357,482",(X),"10,054,509",±692,"10,054,509",(X),"4,475,242",±715,"4,475,242",(X),"564,878",±118,"564,878",(X),"775,330",±165,"775,330",(X),"5,440,294",±583,"5,440,294",(X),"2,950,121",±809,"2,950,121",(X),"1,426,039",±267,"1,426,039",(X),"1,284,353",±200,"1,284,353",(X),"2,008,227",±316,"2,008,227",(X),"2,093,387",±356,"2,093,387",(X),"744,620",±973,"744,620",(X),"2,546,364",±423,"2,546,364",(X),"3,017,772",±315,"3,017,772",(X),"4,590,384",±648,"4,590,384",(X),"2,517,173",±542,"2,517,173",(X),"1,332,041",±222,"1,332,041",(X),"2,807,632",±277,"2,807,632",(X),"521,916",±188,"521,916",(X),"854,298",±175,"854,298",(X),"1,305,534",±192,"1,305,534",(X),"643,979",±131,"643,979",(X),"3,779,591","±1,544","3,779,591",(X),"948,042",±368,"948,042",(X),"8,530,561",±867,"8,530,561",(X),"4,801,698",±420,"4,801,698",(X),"374,435",±225,"374,435",(X),"5,269,498",±445,"5,269,498",(X),"1,762,113",±243,"1,762,113",(X),"1,837,009",±316,"1,837,009",(X),"5,770,472",±639,"5,770,472",(X),"484,925",±184,"484,925",(X),"2,395,957",±268,"2,395,957",(X),"400,688",±380,"400,688",(X),"3,087,992",±386,"3,087,992",(X),"11,867,820","±1,642","11,867,820",(X),"1,190,154",±220,"1,190,154",(X),"336,747",±140,"336,747",(X),"3,652,329",±452,"3,652,329",(X),"3,257,140",±888,"3,257,140",(X),"858,462",±264,"858,462",(X),"2,748,274","±1,039","2,748,274",(X),"274,373",±94,"274,373",(X),"1,526,801","±7,559","1,526,801",(X)
YEAR STRUCTURE BUILT,        Built 2020 or later,"17,469","±2,283",0.80%,±0.1,861,±383,0.30%,±0.1,"31,703","±3,362",1.00%,±0.1,"12,751","±2,332",0.90%,±0.2,"88,460","±6,462",0.60%,±0.1,"29,130","±2,899",1.10%,±0.1,"3,237",±997,0.20%,±0.1,"6,164","±1,355",1.30%,±0.3,"3,345","±1,098",0.90%,±0.3,"124,813","±7,915",1.20%,±0.1,"40,327","±4,017",0.90%,±0.1,"1,347",±643,0.20%,±0.1,"10,998","±2,321",1.40%,±0.3,"14,998","±2,479",0.30%,±0.1,"18,209","±2,960",0.60%,±0.1,"9,453","±1,479",0.70%,±0.1,"6,318","±1,425",0.50%,±0.1,"14,533","±2,673",0.70%,±0.1,"20,445","±3,273",1.00%,±0.2,"3,471",±801,0.50%,±0.1,"12,269","±1,590",0.50%,±0.1,"12,362","±1,951",0.40%,±0.1,"19,922","±2,568",0.40%,±0.1,"15,758","±2,005",0.60%,±0.1,"6,743","±1,787",0.50%,±0.1,"18,204","±2,444",0.60%,±0.1,"4,629","±1,269",0.90%,±0.2,"5,283","±1,192",0.60%,±0.1,"17,798","±2,426",1.40%,±0.2,"2,460",±751,0.40%,±0.1,"14,767","±2,262",0.40%,±0.1,"6,234","±1,830",0.70%,±0.2,"21,506","±3,136",0.30%,±0.1,"46,997","±4,325",1.00%,±0.1,"5,240","±1,459",1.40%,±0.4,"23,868","±2,333",0.50%,±0.1,"14,590","±1,973",0.80%,±0.1,"13,824","±1,886",0.80%,±0.1,"25,163","±2,993",0.40%,±0.1,"1,798",±840,0.40%,±0.2,"33,978","±4,075",1.40%,±0.2,"2,727",±847,0.70%,±0.2,"40,677","±4,273",1.30%,±0.1,"167,243","±10,099",1.40%,±0.1,"13,665","±2,236",1.10%,±0.2,895,±392,0.30%,±0.1,"20,940","±2,457",0.60%,±0.1,"31,005","±3,124",1.00%,±0.1,"1,949",±650,0.20%,±0.1,"11,547","±1,810",0.40%,±0.1,"1,556",±726,0.60%,±0.3,"1,203",±483,0.10%,±0.1
YEAR STRUCTURE BUILT,        Built 2010 to 2019,"262,209","±8,585",11.30%,±0.4,"26,781","±2,677",8.20%,±0.8,"369,265","±9,998",11.80%,±0.3,"169,976","±6,635",12.30%,±0.5,"959,132","±19,755",6.60%,±0.1,"323,890","±9,513",12.70%,±0.4,"67,868","±4,856",4.40%,±0.3,"60,265","±3,494",13.20%,±0.8,"46,736","±3,435",13.10%,±1.0,"1,112,955","±17,951",11.10%,±0.2,"529,012","±13,729",11.80%,±0.3,"47,399","±3,342",8.40%,±0.6,"111,928","±6,527",14.40%,±0.8,"275,256","±9,864",5.10%,±0.2,"242,317","±8,067",8.20%,±0.3,"131,079","±5,303",9.20%,±0.4,"99,552","±4,911",7.80%,±0.4,"187,417","±7,490",9.30%,±0.4,"246,995","±8,384",11.80%,±0.4,"56,156","±3,828",7.50%,±0.5,"210,478","±7,299",8.30%,±0.3,"185,977","±7,274",6.20%,±0.2,"233,850","±6,117",5.10%,±0.1,"212,375","±6,967",8.40%,±0.3,"144,126","±8,491",10.80%,±0.6,"232,900","±7,544",8.30%,±0.3,"58,382","±3,863",11.20%,±0.7,"81,542","±3,831",9.50%,±0.4,"162,171","±6,393",12.40%,±0.5,"43,593","±3,100",6.80%,±0.5,"232,392","±8,201",6.10%,±0.2,"78,579","±5,969",8.30%,±0.6,"450,538","±11,572",5.30%,±0.1,"655,750","±14,153",13.70%,±0.3,"68,057","±4,897",18.20%,±1.3,"300,215","±9,253",5.70%,±0.2,"199,637","±7,212",11.30%,±0.4,"181,298","±7,029",9.90%,±0.4,"302,725","±9,125",5.20%,±0.2,"17,484","±2,161",3.60%,±0.4,"370,968","±10,013",15.50%,±0.4,"53,991","±3,724",13.50%,±0.9,"380,682","±10,108",12.30%,±0.3,"2,165,447","±35,260",18.20%,±0.3,"198,082","±6,379",16.60%,±0.5,"22,735","±2,472",6.80%,±0.7,"373,102","±10,512",10.20%,±0.3,"399,472","±9,781",12.30%,±0.3,"61,347","±4,353",7.10%,±0.5,"199,152","±6,324",7.20%,±0.2,"28,772","±2,839",10.50%,±1.0,"37,324","±2,783",2.40%,±0.2
YEAR STRUCTURE BUILT,        Built 2000 to 2009,"378,929","±9,128",16.40%,±0.4,"55,863","±3,556",17.00%,±1.1,"715,758","±12,697",22.80%,±0.4,"232,915","±7,237",16.90%,±0.5,"1,631,838","±21,709",11.20%,±0.1,"438,400","±8,688",17.30%,±0.3,"115,671","±5,258",7.50%,±0.3,"86,450","±4,513",18.90%,±1.0,"22,792","±2,575",6.40%,±0.7,"1,838,810","±23,844",18.30%,±0.2,"957,429","±19,019",21.40%,±0.4,"72,225","±4,129",12.80%,±0.7,"149,452","±7,660",19.30%,±1.0,"618,384","±11,639",11.40%,±0.2,"371,759","±10,084",12.60%,±0.3,"155,379","±5,737",10.90%,±0.4,"153,514","±5,909",12.00%,±0.5,"294,811","±8,383",14.70%,±0.4,"290,834","±11,019",13.90%,±0.5,"98,653","±4,215",13.20%,±0.6,"297,976","±9,490",11.70%,±0.4,"218,804","±7,874",7.30%,±0.3,"464,343","±9,801",10.10%,±0.2,"344,855","±8,027",13.70%,±0.3,"220,562","±8,923",16.60%,±0.7,"376,922","±11,577",13.40%,±0.4,"72,387","±4,397",13.90%,±0.8,"100,672","±4,494",11.80%,±0.5,"353,465","±8,238",27.10%,±0.6,"76,677","±3,762",11.90%,±0.6,"349,122","±9,361",9.20%,±0.2,"150,289","±6,618",15.90%,±0.7,"545,190","±12,928",6.40%,±0.2,"932,037","±16,377",19.40%,±0.3,"44,277","±3,969",11.80%,±1.1,"514,358","±12,592",9.80%,±0.2,"240,720","±5,712",13.70%,±0.3,"264,034","±8,320",14.40%,±0.5,"467,185","±11,475",8.10%,±0.2,"28,867","±2,703",6.00%,±0.6,"449,338","±11,981",18.80%,±0.5,"53,227","±3,641",13.30%,±0.9,"487,756","±11,839",15.80%,±0.4,"2,159,372","±25,380",18.20%,±0.2,"221,437","±7,044",18.60%,±0.6,"36,979","±2,521",11.00%,±0.7,"555,348","±11,858",15.20%,±0.3,"507,337","±11,126",15.60%,±0.3,"99,139","±5,607",11.50%,±0.7,"346,793","±8,452",12.60%,±0.3,"37,925","±3,297",13.80%,±1.2,"185,381","±6,216",12.10%,±0.4
YEAR STRUCTURE BUILT,        Built 1990 to 1999,"357,141","±9,806",15.40%,±0.4,"39,610","±2,815",12.10%,±0.9,"549,157","±10,803",17.50%,±0.3,"214,123","±7,667",15.50%,±0.6,"1,459,096","±21,291",10.10%,±0.1,"365,943","±9,306",14.40%,±0.4,"115,136","±5,301",7.50%,±0.3,"61,173","±3,813",13.40%,±0.8,"8,250","±1,720",2.30%,±0.5,"1,485,754","±19,850",14.80%,±0.2,"814,060","±15,577",18.20%,±0.3,"75,390","±4,823",13.30%,±0.9,"118,184","±6,579",15.20%,±0.8,"556,035","±11,566",10.20%,±0.2,"393,265","±9,532",13.30%,±0.3,"127,429","±5,465",8.90%,±0.4,"140,994","±6,472",11.00%,±0.5,"303,733","±9,521",15.10%,±0.5,"238,701","±9,080",11.40%,±0.4,"75,496","±3,715",10.10%,±0.5,"331,733","±9,320",13.00%,±0.4,"222,805","±7,381",7.40%,±0.2,"549,618","±9,502",12.00%,±0.2,"309,477","±7,156",12.30%,±0.3,"204,501","±6,917",15.40%,±0.5,"353,384","±8,187",12.60%,±0.3,"66,875","±4,321",12.80%,±0.8,"86,286","±3,753",10.10%,±0.4,"291,739","±6,458",22.30%,±0.5,"61,201","±3,418",9.50%,±0.5,"326,488","±9,174",8.60%,±0.2,"149,827","±6,343",15.80%,±0.7,"492,639","±12,280",5.80%,±0.1,"816,943","±15,558",17.00%,±0.3,"34,841","±2,924",9.30%,±0.8,"571,897","±11,398",10.90%,±0.2,"178,625","±5,180",10.10%,±0.3,"261,686","±8,461",14.20%,±0.5,"511,968","±12,087",8.90%,±0.2,"30,816","±3,181",6.40%,±0.7,"382,051","±9,189",15.90%,±0.4,"47,223","±3,176",11.80%,±0.8,"491,890","±11,690",15.90%,±0.4,"1,489,582","±26,293",12.60%,±0.2,"183,980","±6,221",15.50%,±0.5,"33,730","±2,235",10.00%,±0.7,"525,453","±12,358",14.40%,±0.3,"472,219","±10,655",14.50%,±0.3,"100,811","±5,670",11.70%,±0.7,"342,666","±7,301",12.50%,±0.3,"31,210","±2,620",11.40%,±1.0,"226,002","±6,746",14.80%,±0.4
